hotel	ホテル	hoteru	.
supermarket	スーパー	sūpā	.
restaurant	レストラン	resutoran	.
café	カフェ	kafe	.
Where is X?	Xはどこにありますか？	X wa doko ni arimasu ka?	.

beer	ビール	bīru	.
coca cola	コカ・コーラ	koka kōra	.
Welcome (when entering a place)	いらっしゃいませ！	irasshaimase!	Upon entering a store, restaurant, etc. you might hear the staff say this to you.
How many people?	何名様ですか?	nanmei sama desu ka?	.
[We are] two people.	二[ふた]人[り]です。	futari desu	.
Please sit here.	こちらへどうぞ.	kochira e dōzo	The waiter will show you to your table and say this.
Do you have an English menu?	英語のメニューがありますか?	Eigo no menyū ga arimasu ka?	.
Have you decided on what you want to order?	ご注文はお決まりですか?	Go chūmon wa okimari desu ka?	.
Can I have a little bit more time?	もう少し時間を頂けますか?	Mō sukoshi jikan o itadakemasu ka?	.
Excuse me. (Get waiters attention)	すみません.	sumimasen	To get the attention of a waiter, raise your hand and say this. Many restaurants also have call buttons for each table.
Can I have one of X, please?	Xを一つお願いします?	X o hitotsu onegaishimasu?	.
Can I have two of X, please?	Xを二つお願いします?	X o futatsu onegaishimasu?	.
What do you recommend?	お勧めは何ですか?	O-susume wa nan desu ka?	.
Can I have the bill, please?	お勘定をお願いします.	O-kanjō o onegaishimasu	If the bill was placed on your table earlier, as in many small restaurants, take it to the cashier to pay.
Thanks for the food.	ごちそうさまでした.	Gochisō-sama deshita.	After paying the bill, you might say this to the staff.